Timestamp;SensorId;Value
2017-03-01T23:20:00+03:00;1;18.4798069
2017-03-02T04:00:00+03:00;1;19.53911209
2017-03-23T06:25:00+03:00;1;19.25019836
2017-03-23T19:35:00+03:00;1;18.96128464
2017-04-04T15:10:00+03:00;1;25.32162285
2017-04-04T23:50:00+03:00;1;25.41807175
2017-04-05T04:55:00+03:00;1;24.83945656
2017-04-05T16:25:00+03:00;1;24.16451073
2017-04-07T16:20:00+03:00;1;22.71856499
2017-04-07T23:50:00+03:00;1;23.48968315
2017-04-08T19:35:00+03:00;1;26.671985630000002
2017-03-24T06:55:00+03:00;1;19.1538868
2017-03-29T21:00:00+03:00;1;25.80384827
2017-04-01T00:30:00+03:00;1;26.57551765
2017-04-03T06:40:00+03:00;1;21.56214142
2017-02-24T16:30:00+03:00;1;20.69500542
2017-02-26T15:05:00+03:00;1;20.9840374
2017-02-26T22:00:00+03:00;1;21.369419100000002
2017-04-10T03:20:00+03:00;1;24.45376015
2017-05-03T15:35:00+03:00;1;21.56214142
2017-05-04T23:05:00+03:00;1;23.87528229
2017-05-05T21:15:00+03:00;1;25.70739937
2017-05-06T03:45:00+03:00;1;26.47904968
2017-05-07T21:55:00+03:00;1;26.76845551
2017-05-08T06:50:00+03:00;1;25.32162285
2017-05-09T00:00:00+03:00;1;24.06810188
2017-05-20T06:20:00+03:00;1;22.04393196
2017-05-20T20:20:00+03:00;1;24.83945656
2017-05-21T05:40:00+03:00;1;21.94758224
2017-05-22T06:30:00+03:00;1;24.55018806
2017-05-22T15:30:00+03:00;1;28.02274323
2017-05-22T16:35:00+03:00;1;28.31224823
2017-05-23T09:10:00+03:00;1;25.99674606
2017-05-25T00:50:00+03:00;1;29.47043991
2017-05-25T06:40:00+03:00;1;27.05786133
2017-05-27T01:05:00+03:00;1;30.43585396
2017-05-27T21:05:00+03:00;1;31.98094368
2017-05-29T08:20:00+03:00;1;25.90029716
2017-04-28T16:35:00+03:00;1;20.2133503
2017-04-29T00:05:00+03:00;1;20.40601158
2017-04-30T07:45:00+03:00;1;21.85121155
